Wine_Type,Color,Red_Fruit,Black_Fruit,Floral_Aromas,Herbacious,Pepper/Spice,Earthiness,Baking_Spice,Leather_Flavors,Astringency,Body
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
Cabernet Sauvignon,Red,3,5,2,4,3,3,5,3,4,5
Merlot,Red,5,3,3,2,1,3,5,2,2,3
Zifandel,Red,4,4,0,0,5,1,4,2,2,4
Malbec,Red,2,5,3,2,2,3,4,0,2,4
Pinot Noir,Red,5,0,5,3,0,4,3,1,2,2
Syrah,Red,0,5,3,4,5,3,4,3,3,5
Tempranillo,Red,5,2,0,4,3,4,2,3,4,4
Sangiovese,Red,5,3,0,4,4,3,2,5,4,4
Monastrell,Red,0,5,4,5,5,5,5,1,5,5
Petitie Sirah,Red,0,5,2,3,2,5,4,0,4,5
Cabernet Frank,Red,5,0,2,5,2,5,1,0,2,3
Barbera,Red,5,2,1,5,3,5,3,2,4,3
Montepulciano,Red,4,2,2,4,4,3,1,3,4,4
Carmenere,Red,5,3,4,5,4,2,3,1,2,3
Pinotage,Red,1,5,0,2,3,5,5,0,4,5
Nero D'Avola,Red,4,4,2,3,4,3,5,3,4,4
